state,pct_bachelor
Pennsylvania,32.3
California,34.7
West Virginia,21.3
Utah,34.7
New York,37.5
District of Columbia,59.8
Alaska,30
Florida,30.5
South Carolina,29
North Dakota,30.7
Maine,32.5
Georgia,32.2
Alabama,26.2
New Hampshire,37.6
Oregon,34.4
Wyoming,28.2
Arizona,30.3
Louisiana,24.9
Indiana,27.2
Idaho,28.7
Connecticut,40
Hawaii,33.6
Illinois,35.5
Massachusetts,44.5
Texas,30.7
Montana,33.1
Nebraska,32.5
Ohio,28.9
Colorado,41.6
New Jersey,40.7
Maryland,40.9
Virginia,39.5
Vermont,39.7
North Carolina,32
Arkansas,23.8
Washington,36.7
Kansas,33.9
Oklahoma,26.1
Wisconsin,30.8
Mississippi,22.8
Missouri,29.9
Michigan,30
Rhode Island,35
Minnesota,36.8
Iowa,29.3
New Mexico,28.1
Nevada,25.5
Delaware,32.7
Kentucky,25
South Dakota,29.3
Tennessee,28.2
